pos,play_at,team1_title_vi,team2_title_vi,round_pos,group_pos,unknown_team1_title_vi,unknown_team2_title_vi
1,20/11/2022 23:00:00 +7,Qatar,Ecuador,1,1,,
2,21/11/2022 20:00:00 +7,Anh,Iran,2,2,,
3,21/11/2022 23:00:00 +7,Senegal,Hà Lan,2,1,,
4,22/11/2022 2:00:00 +7,Mỹ,Wales,3,2,,
5,22/11/2022 17:00:00 +7,Argentina,Ả Rập Xê Út,3,3,,
6,22/11/2022 20:00:00 +7,Đan Mạch,Tunisia,3,4,,
7,22/11/2022 23:00:00 +7,Mexico,Ba Lan,3,3,,
8,23/11/2022 2:00:00 +7,Pháp,Úc,4,4,,
9,23/11/2022 17:00:00 +7,Maroc,Croatia,4,6,,
10,23/11/2022 20:00:00 +7,Đức,Nhật Bản,4,5,,
11,23/11/2022 23:00:00 +7,Tây Ban Nha,Costa Rica,4,5,,
12,24/11/2022 2:00:00 +7,Bỉ,Canada,5,6,,
13,24/11/2022 17:00:00 +7,Thuỵ Sĩ,Cameroon,5,7,,
14,24/11/2022 20:00:00 +7,Uruguay,Hàn Quốc,5,8,,
15,24/11/2022 23:00:00 +7,Bồ Đào Nha,Ghana,5,8,,
16,25/11/2022 2:00:00 +7,Brazil,Serbia,6,7,,
17,25/11/2022 17:00:00 +7,Wales,Iran,6,2,,
18,25/11/2022 20:00:00 +7,Qatar,Senegal,6,1,,
19,25/11/2022 23:00:00 +7,Hà Lan,Ecuador,6,1,,
20,26/11/2022 2:00:00 +7,Anh,Mỹ,7,2,,
21,26/11/2022 17:00:00 +7,Tunisia,Úc,7,4,,
22,26/11/2022 20:00:00 +7,Ba Lan,Ả Rập Xê Út,7,3,,
23,26/11/2022 23:00:00 +7,Pháp,Đan Mạch,7,4,,
24,27/11/2022 2:00:00 +7,Argentina,Mexico,8,3,,
25,27/11/2022 17:00:00 +7,Nhật Bản,Costa Rica,8,5,,
26,27/11/2022 20:00:00 +7,Bỉ,Maroc,8,6,,
27,27/11/2022 23:00:00 +7,Croatia,Canada,8,6,,
28,28/11/2022 2:00:00 +7,Tây Ban Nha,Đức,9,5,,
29,28/11/2022 17:00:00 +7,Cameroon,Serbia,9,7,,
30,28/11/2022 20:00:00 +7,Hàn Quốc,Ghana,9,8,,
31,28/11/2022 23:00:00 +7,Brazil,Thuỵ Sĩ,9,7,,
32,29/11/2022 2:00:00 +7,Bồ Đào Nha,Uruguay,10,8,,
33,29/11/2022 22:00:00 +7,Hà Lan,Qatar,10,1,,
34,29/11/2022 22:00:00 +7,Ecuador,Senegal,10,1,,
35,30/11/2022 2:00:00 +7,Iran,Mỹ,11,2,,
36,30/11/2022 2:00:00 +7,Wales,Anh,11,2,,
37,30/11/2022 22:00:00 +7,Tunisia,Pháp,11,4,,
38,30/11/2022 22:00:00 +7,Úc,Đan Mạch,11,4,,
39,1/12/2022 2:00:00 +7,Ba Lan,Argentina,12,3,,
40,1/12/2022 2:00:00 +7,Ả Rập Xê Út,Mexico,12,3,,
41,1/12/2022 22:00:00 +7,Croatia,Bỉ,12,6,,
42,1/12/2022 22:00:00 +7,Canada,Maroc,12,6,,
43,2/12/2022 2:00:00 +7,Nhật Bản,Tây Ban Nha,13,5,,
44,2/12/2022 2:00:00 +7,Costa Rica,Đức,13,5,,
45,2/12/2022 22:00:00 +7,Hàn Quốc,Bồ Đào Nha,13,8,,
46,2/12/2022 22:00:00 +7,Ghana,Uruguay,13,8,,
47,3/12/2022 2:00:00 +7,Cameroon,Brazil,14,7,,
48,3/12/2022 2:00:00 +7,Serbia,Thuỵ Sĩ,14,7,,
49,3/12/2022 22:00:00 +7 ,,,15,,Nhất bảng A,Nhì bảng B
50,4/12/2022 2:00:00 +7 ,,,15,,Nhất bảng C,Nhì bảng D
51,4/12/2022 22:00:00 +7 ,,,15,,Nhất bảng D ,Nhì bảng C
52,5/12/2022 2:00:00 +7 ,,,15,,Nhất bảng B ,Nhì bảng A
53,5/12/2022 22:00:00 +7 ,,,15,,Nhất bảng E,Nhì bảng F
54,6/12/2022 2:00:00 +7,,,15,,Nhất bảng G,Nhì bảng H
55,6/12/2022 22:00:00 +7 ,,,15,,Nhất bảng F,Nhì bảng E
56,7/12/2022 2:00:00 +7,,,15,,Nhất bảng H,Nhì bảng G
57,9/12/2022 22:00:00 +7,,,16,,Thắng trận 53,Thắng trận 54
58,10/12/2022 2:00:00 +7,,,16,,Thắng trận 49,Thắng trận 50
59,10/12/2022 22:00:00 +7,,,16,,Thắng trận 55,Thắng trận 56
60,11/12/2022 2:00:00 +7,,,16,,Thắng trận 51,Thắng trận 52
61,14/12/2022 2:00:00 +7,,,17,,Thắng trận 57,Thắng trận 58
62,15/12/2022 2:00:00 +7,,,17,,Thắng trận 59,Thắng trận 60
63,17/12/2022 22:00:00 +7,,,18,,Thua trận 61,Thua trận 62
64,18/12/2022 22:00:00 +7,,,19,,Thắng trận 61,Thắng trận 62
